vids freq
BEL000081967 0.009945
BEL000081967 0.001718
BEL000081967 0.002413
BEL000081967 0.006077
BEL000081967 0.011093
BEL000081967 0.002864
BEL000081967 0.006258
BEL000081967 0.000240
BEL000081967 0.012987
BEL000081967 0.001943
BEL000081967 0.009363
BEL000081967 0.002213
BEL000081967 0.005669
BEL000081967 0.002241
BEL000081967 0.011061
BEL000081967 0.009612
BEL000081967 0.005542
BEL000081967 0.004271
BEL000081967 0.004628
BEL000081967 0.006327
BEL000081967 0.008673
BEL000081967 0.007299
BEL000081967 0.003428
BEL000081967 0.020987
BEL000081967 0.000260
BEL000081967 0.008175
BEL000081967 0.023955
BEL000081967 0.004216
BEL000081967 0.012930
BEL000081967 0.010078
BEL000081967 0.008856
BEL000081967 0.008340
BEL000081967 0.004998
BEL000081967 0.011124
BEL000081967 0.009412
BEL000081967 0.014676
BEL000081967 0.007339
BEL000081967 0.019611
BEL000081967 0.011798
BEL000081967 0.003766
BEL000081967 0.001709
BEL000081967 0.009175
BEL000081967 0.011093
BEL000081967 0.005151
BEL000081967 0.011800
BEL000081967 0.015159
BEL000081967 0.004878
BEL000081967 0.001674
BEL000081967 0.012697
BEL000081967 0.016179
BEL000081967 0.002032
BEL000081967 0.002032
BEL000081967 0.002032
BEL000081967 0.002397
BEL000081967 0.012244
BEL000081967 0.009341
